Модуль ошибки псевдодальности	Время, с	Ошибка, м
0	5
765374480,,,,0.588734,,,,0.806646,0.767106,,,,,,,0.792003,,,,,,,,,,0.293125,0.351884,,,,0.276484,,
765374490,,,,0.583998,,,,0.805718,0.762098,,,,,,,0.799428,,,,,,,,,,0.283489,0.350495,,,,0.260065,,
765374500,,,,0.588647,,,,0.791416,0.768387,,,,,,,0.794102,,,,,,,,,,0.276307,0.342091,,,,0.247342,,
765374510,,,,0.583608,,,,0.807962,0.791735,,,,,,,0.791553,,,,,,,,,,0.266345,0.350038,,,,0.245057,,
765374520,,,,0.570675,,,,0.818664,0.786326,,,,,,,0.78408,,,,,,,,,,0.246253,0.330802,,,,0.240049,,
765374530,,,,0.570615,,,,0.838817,0.78345,,,,,,,0.780362,,,,,,,,,,0.22917,0.321438,,,,0.244257,,
765374540,,,,0.592878,,,,0.867432,0.783458,,,,,,,0.778645,,,,,,,,,,0.224481,0.300479,,,,0.281663,,
765374550,,,,0.599658,,,,0.872028,0.795184,,,,,,,0.785865,,,,,,,,,,0.227832,0.286195,,,,0.28912,,
765374560,,,,0.593254,,,,0.867527,0.791327,,,,,,,0.781862,,,,,,,,,,0.220623,0.278152,,,,0.293741,,
765374570,,,,0.595342,,,,0.875433,0.781786,,,,,,,0.787768,,,,,,,,,,0.230316,0.257503,,,,0.285263,,
765374580,,,,0.592768,,,,0.898396,0.783787,,,,,,,0.802644,,,,,,,,,,0.224025,0.252419,,,,0.27693,,
765374590,,,,0.595404,,,,0.892884,0.770679,,,,,,,0.821406,,,,,,,,,,0.216598,0.266654,,,,0.26637,,
765374600,,,,0.588662,,,,0.881275,0.754173,,,,,,,0.83108,,,,,,,,,,0.208753,0.261325,,,,0.261402,,
765374610,,,,0.585706,,,,0.892733,0.752604,,,,,,,0.85176,,,,,,,,,,0.199994,0.24073,,,,0.256138,,
765374620,,,,0.584067,,,,0.8884,0.764213,,,,,,,0.866359,,,,,,,,,,0.198715,0.243164,,,,0.259704,,
765374630,,,,0.57914,,,,0.874339,0.730062,,,,,,,0.871168,,,,,,,,,,0.195528,0.244685,,,,0.272348,,
765374640,,,,0.585583,,,,0.879731,0.723667,,,,,,,0.854472,,,,,,,,,,0.200137,0.251003,,,,0.275368,,
