Количество видимых спутников	Время, с	Кол-во
0	15
765397570,7
765397580,7
765397590,7
765397600,7
765397610,7
765397620,7
765397630,7
765397640,7
765397650,7
765397660,7
765397670,7
765397680,7
765397690,7
765397700,8
765397710,8
765397720,9
765397730,9
765397740,9
765397750,9
765397760,9
765397770,8
765397780,8
765397790,8
765397800,8
765397810,9
765397820,9
765397830,9
765397840,10
765397850,10
765397860,10
765397870,10
765397880,10
765397890,10
765397900,10
765397910,10
765397920,10
765397930,10
765397940,11
765397950,11
765397960,11
765397970,11
765397980,11
765397990,11
765398000,11
765398010,11
765398020,11
765398030,11
765398040,11
765398050,11
765398060,10
765398070,10
765398080,10
765398090,10
765398100,10
765398110,10
765398120,10
765398130,10
765398140,10
765398150,10
765398160,11
765398170,11
765398180,10
765398190,10
765398200,10
765398210,10
765398220,10
765398230,9
765398240,10
765398250,10
765398260,11
765398270,11
765398280,11
765398290,11
765398300,11
765398310,11
765398320,11
765398330,11
765398340,11
765398350,11
765398360,11
765398370,10
765398380,10
765398390,10
765398400,10
765398410,9
765398420,9
765398430,9
765398440,10
765398450,9
765398460,9
765398470,9
765398480,10
765398490,11
765398500,11
765398510,10
765398520,10
765398530,10
765398540,10
765398550,10
765398560,10
765398570,10
765398580,10
765398590,10
765398600,9
765398610,10
765398620,10
765398630,10
765398640,10
765398650,10
765398660,10
765398670,10
765398680,10
765398690,10
765398700,10
765398710,10
765398720,10
765398730,10
765398740,10
765398750,10
765398760,10
765398770,10
765398780,10
765398790,9
765398800,10
765398810,10
765398820,10
765398830,10
765398840,11
765398850,11
765398860,9
765398870,9
765398880,8
765398890,9
765398900,9
765398910,9
765398920,8
765398930,7
765398940,8
765398950,8
765398960,9
765398970,8
765398980,8
765398990,8
765399000,8
765399010,8
765399020,8
765399030,9
765399040,9
765399050,9
765399060,9
765399070,9
765399080,9
765399090,9
765399100,9
765399110,9
765399120,9
765399130,9
765399140,10
765399150,10
765399160,10
765399170,10
765399180,9
765399190,9
765399200,10
765399210,9
765399220,8
765399230,8
765399240,8
765399250,8
765399260,7
765399270,7
765399280,7
765399290,8
765399300,8
765399310,8
765399320,8
765399330,9
765399340,8
765399350,8
765399360,8
765399370,8
765399380,7
765399390,7
765399400,9
765399410,9
765399420,9
765399430,9
765399440,9
765399450,9
765399460,9
765399470,8
765399480,8
765399490,8
765399500,8
765399510,8
765399520,8
765399530,8
765399540,8
765399550,8
765399560,8
765399570,8
765399580,8
765399590,8
765399600,8
765399610,9
765399620,9
765399630,9
765399640,9
765399650,9
765399660,10
765399670,10
765399680,10
765399690,10
765399700,10
765399710,10
765399720,10
765399730,10
765399740,10
765399750,10
765399760,10
765399770,10
765399780,10
765399790,10
765399800,10
765399810,10
765399820,9
765399830,10
765399840,9
765399850,9
765399860,10
765399870,10
765399880,10
765399890,10
765399900,10
765399910,10
765399920,9
765399930,9
765399940,9
765399950,9
765399960,10
765399970,10
765399980,10
765399990,10
765400000,9
765400010,10
765400020,9
765400030,10
765400040,8
765400050,8
765400060,9
765400070,9
765400080,8
765400090,8
765400100,8
765400110,8
765400120,8
765400130,8
765400140,8
765400150,8
765400160,9
765400170,9
765400180,9
765400190,9
765400200,9
765400210,9
765400220,9
765400230,9
765400240,10
765400250,10
765400260,10
765400270,10
765400280,10
765400290,10
765400300,10
765400310,10
765400320,10
765400330,11
765400340,11
765400350,11
765400360,11
765400370,10
765400380,10
765400390,10
765400400,10
765400410,10
765400420,10
765400430,10
765400440,10
765400450,10
765400460,10
765400470,10
765400480,10
765400490,10
765400500,10
765400510,10
765400520,10
765400530,11
765400540,11
765400550,11
765400560,11
765400570,11
765400580,10
765400590,10
765400600,10
765400610,10
765400620,10
765400630,9
765400640,9
765400650,9
765400660,9
765400670,9
765400680,9
765400690,9
765400700,10
765400710,10
765400720,10
765400730,11
765400740,11
765400750,11
765400760,11
765400770,11
765400780,11
765400790,11
765400800,11
765400810,11
765400820,11
765400830,11
765400840,11
765400850,11
765400860,11
765400870,11
765400880,11
765400890,11
765400900,11
765400910,11
765400920,11
765400930,11
765400940,11
765400950,11
765400960,11
765400970,11
765400980,11
765400990,10
765401000,11
765401010,11
765401020,11
765401030,10
765401040,10
765401050,10
765401060,9
765401070,9
765401080,9
765401090,9
765401100,9
765401110,9
765401120,9
765401130,9
765401140,9
765401150,10
765401160,10
765401170,11
765401180,11
765401190,11
765401200,11
765401210,11
765401220,11
765401230,11
765401240,11
765401250,11
765401260,11
765401270,11
765401280,11
765401290,11
765401300,11
765401310,11
765401320,11
765401330,11
765401340,11
765401350,11
765401360,11
765401370,11
765401380,11
765401390,11
765401400,11
765401410,11
765401420,11
765401430,11
765401440,11
765401450,11
765401460,11
765401470,11
765401480,11
765401490,11
765401500,11
765401510,11
765401520,11
765401530,11
765401540,10
765401550,10
765401560,9
765401570,10
765401580,10
765401590,10
765401600,10
765401610,10
765401620,9
765401630,8
765401640,9
765401650,10
765401660,10
765401670,9
765401680,8
765401690,8
765401700,8
765401710,8
765401720,8
765401730,8
765401740,8
765401750,8
765401760,8
765401770,8
765401780,8
765401790,9
765401800,9
765401810,8
765401820,8
765401830,8
765401840,8
765401850,8
765401860,8
765401870,8
765401880,8
765401890,7
765401900,8
765401910,8
765401920,8
765401930,8
765401940,8
765401950,7
765401960,7
765401970,7
765401980,7
765401990,8
765402000,7
765402010,9
765402020,9
765402030,8
765402040,9
765402050,8
765402060,8
765402070,8
765402080,8
765402090,8
765402100,8
765402110,8
765402120,9
765402130,9
765402140,9
765402150,9
765402160,9
765402170,9
765402180,9
765402190,9
765402200,9
765402210,9
765402220,9
765402230,9
765402240,9
765402250,9
765402260,9
765402270,9
765402280,9
765402290,9
765402300,9
765402310,9
765402320,9
765402330,9
765402340,9
765402350,9
765402360,9
765402370,9
765402380,9
765402390,9
765402400,9
765402410,10
765402420,10
765402430,9
765402440,10
765402450,10
765402460,9
765402470,10
765402480,8
765402490,9
765402500,9
765402510,7
765402520,8
765402530,8
765402540,7
765402550,8
765402560,8
765402570,9
765402580,9
765402590,8
765402600,9
765402610,9
765402620,9
765402630,9
765402640,9
765402650,9
765402660,9
765402670,9
765402680,9
765402690,9
765402700,9
765402710,9
765402720,9
765402730,9
765402740,9
765402750,9
765402760,9
765402770,9
765402780,9
765402790,10
765402800,10
765402810,10
765402820,10
765402830,10
765402840,10
765402850,10
765402860,10
765402870,10
765402880,10
765402890,10
765402900,10
765402910,10
765402920,9
765402930,9
765402940,9
765402950,9
765402960,9
765402970,9
765402980,9
765402990,9
765403000,9
765403010,9
765403020,9
765403030,9
765403040,9
765403050,9
765403060,9
765403070,9
765403080,9
765403090,9
765403100,9
765403110,9
765403120,9
765403130,9
765403140,9
765403150,8
765403160,8
765403170,8
765403180,8
765403190,8
765403200,8
765403210,8
765403220,8
765403230,8
765403240,9
765403250,9
765403260,9
765403270,9
765403280,9
765403290,9
765403300,9
765403310,9
765403320,9
765403330,9
765403340,9
765403350,9
765403360,9
765403370,9
765403380,9
765403390,9
765403400,8
765403410,9
765403420,9
765403430,9
765403440,10
765403450,10
765403460,10
765403470,9
765403480,9
765403490,9
765403500,9
765403510,9
765403520,9
765403530,9
765403540,9
765403550,9
765403560,9
765403570,9
765403580,9
765403590,10
765403600,10
765403610,11
765403620,11
765403630,11
765403640,10
765403650,10
765403660,10
765403670,10
765403680,10
765403690,10
765403700,10
765403710,10
765403720,10
765403730,10
765403740,10
765403750,10
765403760,10
765403770,10
765403780,10
765403790,10
765403800,10
765403810,10
765403820,10
765403830,10
765403840,10
765403850,10
765403860,10
765403870,10
765403880,10
765403890,10
765403900,10
765403910,10
765403920,10
765403930,10
765403940,10
765403950,10
765403960,10
765403970,10
765403980,10
765403990,10
765404000,10
765404010,9
765404020,9
765404030,9
765404040,9
765404050,9
765404060,9
765404070,8
765404080,10
765404090,10
765404100,9
765404110,9
765404120,10
765404130,10
765404140,10
765404150,10
765404160,10
765404170,9
765404180,9
765404190,9
765404200,8
765404210,7
765404220,7
765404230,7
765404240,8
765404250,9
765404260,9
765404270,9
765404280,9
765404290,9
765404300,9
765404310,9
765404320,9
765404330,9
765404340,9
765404350,9
765404360,10
765404370,10
765404380,10
765404390,10
765404400,10
765404410,10
765404420,8
765404430,7
765404440,8
765404450,8
765404460,9
765404470,9
765404480,10
765404490,10
765404500,8
765404510,8
765404520,10
765404530,10
765404540,10
765404550,9
765404560,8
765404570,8
765404580,8
765404590,8
765404600,8
765404610,8
765404620,8
765404630,8
765404640,8
765404650,8
765404660,8
765404670,8
765404680,8
765404690,8
765404700,8
765404710,9
765404720,9
765404730,9
765404740,9
765404750,8
765404760,8
765404770,8
765404780,8
765404790,8
765404800,8
765404810,8
765404820,8
765404830,8
765404840,8
765404850,8
765404860,8
765404870,8
765404880,8
765404890,7
765404900,6
765404910,8
765404920,9
765404930,8
765404940,8
765404950,8
765404960,9
765404970,9
765404980,9
765404990,9
765405000,9
765405010,9
765405020,9
765405030,9
765405040,9
765405050,9
765405060,9
765405070,9
765405080,10
765405090,10
765405100,10
765405110,10
765405120,10
765405130,11
765405140,11
765405150,11
765405160,10
765405170,11
765405180,10
765405190,10
765405200,10
765405210,10
765405220,8
765405230,9
765405240,9
765405250,10
765405260,10
765405270,9
765405280,10
765405290,10
765405300,9
765405310,9
765405320,9
765405330,9
765405340,9
765405350,9
765405360,9
765405370,10
765405380,11
765405390,11
765405400,10
765405410,10
765405420,10
765405430,10
765405440,10
765405450,11
765405460,11
765405470,11
765405480,11
765405490,11
765405500,11
765405510,11
765405520,11
765405530,10
765405540,10
765405550,10
765405560,10
765405570,10
765405580,11
765405590,10
765405600,10
765405610,10
765405620,10
765405630,10
765405640,10
765405650,10
765405660,10
765405670,9
765405680,9
765405690,9
765405700,9
765405710,9
765405720,10
765405730,10
765405740,10
765405750,10
765405760,10
765405770,10
765405780,10
765405790,10
765405800,10
765405810,10
765405820,10
765405830,10
765405840,10
765405850,10
765405860,10
765405870,10
765405880,11
765405890,11
765405900,11
765405910,11
765405920,11
765405930,11
765405940,11
765405950,10
765405960,10
765405970,10
765405980,11
765405990,11
765406000,11
765406010,10
765406020,10
765406030,10
765406040,9
765406050,9
765406060,9
765406070,9
765406080,10
765406090,8
765406100,8
765406110,8
765406120,8
765406130,9
765406140,9
765406150,9
765406160,9
765406170,9
765406180,9
765406190,10
765406200,10
765406210,10
765406220,10
765406230,10
765406240,10
765406250,10
765406260,10
765406270,10
765406280,10
765406290,9
765406300,9
765406310,10
765406320,10
765406330,10
765406340,10
765406350,11
765406360,10
765406370,10
765406380,9
765406390,10
765406400,10
765406410,10
765406420,10
765406430,10
765406440,10
765406450,9
765406460,10
765406470,9
765406480,8
765406490,9
765406500,9
765406510,9
765406520,9
765406530,9
765406540,9
765406550,9
765406560,9
765406570,9
765406580,8
765406590,8
765406600,9
765406610,9
765406620,9
765406630,8
765406640,8
765406650,8
765406660,8
765406670,9
765406680,9
765406690,9
765406700,9
765406710,9
765406720,9
765406730,10
765406740,10
765406750,10
765406760,10
765406770,10
765406780,10
765406790,10
765406800,10
765406810,10
765406820,11
765406830,11
765406840,11
765406850,11
765406860,11
765406870,11
765406880,11
765406890,11
765406900,11
765406910,10
765406920,9
765406930,9
765406940,9
765406950,9
765406960,9
765406970,9
765406980,9
765406990,9
765407000,9
765407010,9
765407020,10
765407030,10
765407040,10
765407050,10
765407060,9
765407070,9
765407080,9
765407090,9
765407100,9
765407110,9
765407120,9
765407130,9
765407140,9
765407150,9
765407160,9
765407170,9
765407180,9
765407190,9
765407200,10
765407210,10
765407220,10
765407230,10
765407240,10
765407250,10
765407260,10
765407270,10
765407280,9
765407290,9
765407300,9
765407310,9
765407320,8
765407330,9
765407340,9
765407350,9
765407360,9
765407370,9
765407380,9
765407390,10
765407400,9
765407410,9
765407420,9
765407430,9
765407440,9
765407450,9
765407460,9
765407470,9
765407480,9
765407490,9
765407500,8
765407510,8
765407520,8
765407530,8
765407540,8
765407550,8
765407560,8
765407570,8
765407580,8
765407590,8
765407600,8
765407610,8
765407620,8
765407630,8
765407640,8
765407650,8
765407660,8
765407670,9
765407680,9
765407690,9
765407700,9
765407710,9
765407720,9
765407730,9
765407740,9
765407750,9
765407760,9
765407770,9
765407780,9
765407790,9
765407800,9
765407810,9
765407820,9
765407830,9
765407840,9
765407850,9
765407860,9
765407870,9
765407880,9
765407890,9
765407900,9
765407910,9
765407920,9
765407930,9
765407940,8
765407950,10
765407960,10
765407970,9
765407980,9
765407990,9
765408000,9
765408010,9
765408020,9
765408030,9
765408040,9
765408050,9
765408060,9
765408070,9
765408080,9
765408090,9
765408100,9
765408110,9
765408120,9
765408130,9
765408140,10
765408150,10
765408160,10
765408170,10
765408180,10
765408190,10
765408200,9
765408210,9
765408220,9
765408230,9
765408240,8
765408250,8
765408260,8
765408270,8
765408280,8
765408290,8
765408300,8
765408310,8
765408320,9
765408330,8
765408340,8
765408350,8
765408360,8
765408370,9
765408380,9
765408390,9
765408400,9
765408410,9
765408420,9
765408430,9
765408440,8
765408450,9
765408460,8
765408470,8
765408480,8
765408490,8
765408500,8
765408510,8
765408520,8
765408530,8
765408540,7
765408550,8
765408560,8
765408570,8
765408580,8
765408590,7
765408600,7
765408610,7
765408620,8
765408630,7
765408640,7
765408650,7
765408660,7
765408670,7
765408680,7
765408690,7
765408700,7
765408710,7
765408720,7
765408730,7
765408740,7
765408750,7
765408760,7
765408770,7
765408780,7
765408790,7
765408800,7
765408810,7
765408820,7
765408830,7
765408840,7
765408850,7
765408860,7
765408870,7
765408880,7
765408890,7
765408900,7
765408910,7
765408920,7
765408930,7
765408940,7
765408950,7
765408960,7
765408970,7
765408980,8
765408990,9
765409000,9
765409010,9
765409020,9
765409030,9
765409040,9
765409050,9
765409060,9
765409070,9
765409080,9
765409090,10
765409100,10
765409110,10
765409120,10
765409130,10
765409140,10
765409150,10
765409160,10
765409170,10
765409180,10
765409190,10
765409200,10
765409210,9
765409220,9
765409230,8
765409240,9
765409250,9
765409260,9
765409270,9
765409280,9
765409290,9
765409300,9
765409310,10
765409320,10
765409330,10
765409340,10
765409350,10
765409360,10
765409370,10
765409380,10
765409390,10
765409400,10
765409410,10
765409420,10
765409430,10
765409440,10
765409450,10
765409460,10
765409470,10
765409480,10
765409490,10
765409500,10
765409510,11
765409520,11
765409530,11
765409540,11
765409550,11
765409560,11
765409570,11
765409580,11
765409590,11
765409600,11
765409610,11
765409620,11
765409630,10
765409640,10
765409650,10
765409660,10
765409670,10
765409680,10
765409690,10
765409700,11
765409710,11
765409720,11
765409730,10
765409740,10
765409750,10
765409760,10
765409770,10
765409780,10
765409790,9
765409800,10
765409810,10
765409820,10
765409830,9
765409840,9
765409850,9
765409860,9
765409870,9
765409880,9
765409890,9
765409900,10
765409910,10
765409920,10
765409930,10
765409940,10
765409950,11
765409960,11
765409970,11
765409980,11
765409990,11
765410000,11
765410010,11
765410020,10
765410030,10
765410040,10
765410050,10
765410060,10
765410070,9
765410080,9
765410090,9
765410100,9
765410110,9
765410120,9
765410130,9
765410140,9
765410150,9
765410160,9
765410170,9
765410180,9
765410190,9
765410200,8
765410210,9
765410220,9
765410230,9
765410240,9
765410250,9
765410260,9
765410270,9
765410280,9
765410290,8
765410300,8
765410310,8
765410320,8
765410330,8
765410340,8
765410350,8
765410360,8
765410370,8
765410380,8
765410390,8
765410400,8
765410410,8
765410420,8
765410430,8
765410440,7
765410450,7
765410460,7
765410470,7
765410480,8
765410490,7
765410500,7
765410510,7
765410520,7
765410530,7
765410540,7
765410550,8
765410560,7
765410570,9
765410580,9
765410590,9
765410600,8
765410610,8
765410620,8
765410630,8
765410640,8
765410650,8
765410660,8
765410670,8
765410680,8
765410690,9
765410700,10
765410710,10
765410720,10
765410730,10
765410740,10
765410750,10
765410760,8
765410770,9
765410780,9
765410790,9
765410800,9
765410810,9
765410820,10
765410830,10
765410840,9
765410850,7
765410860,7
765410870,9
765410880,9
765410890,9
765410900,9
765410910,9
765410920,9
765410930,9
765410940,9
765410950,10
765410960,10
765410970,9
765410980,9
765410990,9
765411000,9
765411010,9
765411020,9
765411030,9
765411040,9
765411050,9
765411060,9
765411070,9
765411080,10
765411090,10
765411100,10
765411110,10
765411120,9
765411130,9
765411140,9
765411150,9
765411160,9
765411170,9
765411180,9
765411190,8
765411200,8
765411210,8
765411220,8
765411230,8
765411240,8
765411250,8
765411260,8
765411270,8
765411280,9
765411290,9
765411300,9
765411310,9
765411320,9
765411330,10
765411340,10
765411350,10
765411360,10
765411370,11
765411380,11
765411390,11
765411400,11
765411410,11
765411420,10
765411430,10
765411440,10
765411450,10
765411460,10
765411470,10
765411480,10
765411490,10
765411500,10
765411510,10
765411520,10
765411530,10
765411540,10
765411550,10
765411560,10
765411570,11
765411580,11
765411590,11
765411600,11
765411610,11
765411620,11
765411630,11
765411640,11
765411650,11
765411660,11
765411670,11
765411680,11
765411690,11
765411700,11
765411710,11
765411720,11
765411730,11
765411740,11
765411750,11
765411760,11
765411770,11
765411780,11
765411790,11
765411800,10
765411810,10
765411820,11
765411830,11
765411840,11
765411850,11
765411860,11
765411870,11
765411880,11
765411890,11
765411900,11
765411910,11
765411920,11
765411930,11
765411940,11
765411950,11
765411960,11
765411970,11
765411980,11
765411990,11
765412000,10
765412010,10
765412020,10
765412030,10
765412040,9
765412050,9
765412060,9
765412070,9
765412080,9
765412090,9
765412100,9
765412110,9
765412120,9
765412130,10
765412140,11
765412150,11
765412160,11
765412170,11
765412180,11
765412190,11
765412200,11
765412210,11
765412220,11
765412230,11
765412240,11
765412250,11
765412260,11
765412270,11
765412280,11
765412290,11
765412300,11
765412310,11
765412320,11
765412330,11
765412340,11
765412350,11
765412360,11
765412370,10
765412380,9
765412390,9
765412400,9
765412410,9
765412420,9
765412430,9
765412440,8
765412450,8
765412460,8
765412470,8
765412480,9
765412490,9
765412500,9
765412510,9
765412520,9
765412530,9
765412540,9
765412550,9
765412560,9
765412570,10
765412580,10
765412590,10
765412600,10
765412610,10
765412620,10
765412630,10
765412640,10
765412650,10
765412660,11
765412670,11
765412680,11
765412690,11
765412700,11
765412710,11
765412720,10
765412730,9
765412740,9
765412750,8
765412760,8
765412770,8
765412780,9
765412790,8
765412800,8
765412810,8
765412820,9
765412830,8
765412840,8
765412850,8
765412860,8
765412870,9
765412880,9
765412890,9
765412900,9
765412910,9
765412920,9
765412930,9
765412940,9
765412950,9
765412960,9
765412970,9
765412980,9
765412990,9
765413000,9
765413010,9
765413020,9
765413030,9
765413040,9
765413050,9
765413060,8
765413070,9
765413080,9
765413090,9
765413100,10
765413110,10
765413120,9
765413130,9
765413140,9
765413150,9
765413160,9
765413170,9
765413180,9
765413190,8
765413200,9
765413210,8
765413220,8
765413230,9
765413240,9
765413250,9
765413260,9
765413270,9
765413280,10
765413290,10
765413300,9
765413310,10
765413320,10
765413330,10
765413340,9
765413350,9
765413360,9
765413370,9
765413380,9
765413390,9
765413400,9
765413410,9
765413420,11
765413430,10
765413440,11
765413450,10
765413460,10
765413470,10
765413480,9
765413490,9
765413500,9
765413510,9
765413520,9
765413530,9
765413540,9
765413550,9
765413560,8
765413570,9
765413580,9
765413590,9
765413600,9
765413610,9
765413620,8
765413630,9
765413640,9
765413650,9
765413660,9
765413670,9
765413680,9
765413690,9
765413700,9
765413710,9
765413720,9
765413730,9
765413740,9
765413750,9
765413760,10
765413770,10
765413780,10
765413790,10
765413800,10
765413810,10
765413820,10
765413830,10
765413840,10
765413850,10
765413860,10
765413870,10
765413880,9
765413890,9
765413900,10
765413910,10
765413920,10
765413930,10
765413940,10
765413950,10
765413960,10
765413970,10
765413980,10
765413990,10
765414000,10
765414010,10
765414020,10
765414030,10
765414040,10
765414050,10
765414060,10
765414070,11
765414080,11
765414090,11
765414100,11
765414110,11
765414120,11
765414130,11
765414140,11
765414150,11
765414160,11
765414170,11
765414180,11
765414190,10
765414200,10
765414210,10
765414220,10
765414230,10
765414240,10
765414250,9
765414260,9
765414270,9
765414280,9
765414290,9
765414300,9
765414310,9
765414320,8
765414330,8
765414340,9
765414350,9
765414360,8
765414370,8
765414380,8
765414390,8
765414400,8
765414410,8
765414420,8
765414430,8
765414440,8
765414450,8
765414460,8
765414470,8
765414480,8
765414490,8
765414500,8
765414510,8
765414520,8
765414530,8
765414540,8
765414550,8
765414560,8
765414570,8
765414580,8
765414590,8
765414600,8
765414610,8
765414620,8
765414630,8
765414640,8
765414650,8
765414660,8
765414670,8
765414680,8
765414690,7
765414700,7
765414710,7
765414720,7
765414730,7
765414740,7
765414750,8
765414760,8
765414770,8
765414780,9
765414790,10
765414800,10
765414810,10
765414820,10
765414830,9
765414840,9
765414850,9
765414860,9
765414870,10
765414880,10
765414890,10
765414900,10
765414910,10
765414920,10
765414930,10
765414940,11
765414950,11
765414960,11
765414970,11
765414980,10
765414990,10
765415000,11
765415010,10
765415020,10
765415030,10
765415040,10
765415050,10
765415060,11
765415070,11
765415080,9
765415090,9
765415100,10
765415110,9
765415120,10
765415130,10
765415140,10
765415150,9
765415160,9
765415170,9
765415180,9
765415190,10
765415200,10
765415210,10
765415220,10
765415230,10
765415240,10
765415250,10
765415260,10
765415270,10
765415280,9
765415290,9
765415300,9
765415310,9
765415320,9
765415330,10
765415340,10
765415350,10
765415360,10
765415370,9
765415380,9
765415390,9
765415400,9
765415410,8
765415420,9
765415430,9
765415440,9
765415450,9
765415460,9
765415470,9
765415480,9
765415490,9
765415500,9
765415510,9
765415520,9
765415530,8
765415540,8
765415550,7
765415560,7
765415570,7
765415580,7
765415590,7
765415600,7
765415610,7
765415620,6
765415630,6
765415640,6
765415650,6
765415660,6
765415670,6
765415680,6
765415690,6
765415700,6
765415710,6
765415720,6
765415730,6
765415740,6
765415750,7
765415760,7
765415770,7
765415780,7
765415790,7
765415800,7
765415810,8
765415820,8
765415830,8
765415840,8
765415850,8
765415860,8
765415870,8
765415880,8
765415890,8
765415900,8
765415910,9
765415920,9
765415930,9
765415940,9
765415950,9
765415960,9
765415970,9
765415980,9
765415990,9
765416000,10
765416010,10
765416020,9
765416030,9
765416040,9
765416050,9
765416060,8
765416070,9
765416080,8
765416090,9
765416100,8
765416110,8
765416120,8
765416130,8
765416140,8
765416150,8
765416160,8
765416170,9
765416180,9
765416190,9
765416200,9
765416210,9
765416220,8
765416230,8
765416240,8
765416250,8
765416260,8
765416270,8
765416280,8
765416290,8
765416300,9
765416310,9
765416320,9
765416330,9
765416340,8
765416350,7
765416360,7
765416370,7
765416380,7
765416390,7
765416400,7
765416410,7
765416420,7
765416430,7
765416440,7
765416450,7
765416460,7
765416470,7
765416480,7
765416490,7
765416500,7
765416510,7
765416520,7
765416530,7
765416540,7
765416550,7
765416560,8
765416570,8
765416580,8
765416590,8
765416600,8
765416610,7
765416620,7
765416630,7
765416640,8
765416650,8
765416660,7
765416670,8
765416680,8
765416690,8
765416700,8
765416710,8
765416720,8
765416730,8
765416740,8
765416750,8
765416760,8
765416770,9
765416780,8
765416790,8
765416800,8
765416810,8
765416820,9
765416830,10
765416840,10
765416850,10
765416860,8
765416870,8
765416880,8
765416890,9
765416900,9
765416910,9
765416920,9
765416930,8
765416940,8
765416950,9
765416960,8
765416970,8
765416980,9
765416990,8
765417000,9
765417010,9
765417020,9
765417030,9
765417040,9
765417050,9
765417060,9
765417070,9
765417080,9
765417090,9
765417100,8
765417110,8
765417120,9
765417130,9
765417140,9
765417150,9
765417160,9
765417170,8
765417180,8
765417190,8
765417200,8
765417210,8
765417220,8
765417230,8
765417240,9
765417250,9
765417260,10
765417270,11
765417280,11
765417290,11
765417300,11
765417310,11
765417320,11
765417330,11
765417340,11
765417350,10
765417360,9
765417370,9
765417380,9
765417390,9
765417400,9
765417410,9
765417420,9
765417430,9
765417440,10
765417450,10
765417460,9
765417470,10
765417480,10
765417490,9
765417500,9
765417510,9
765417520,9
765417530,9
765417540,9
765417550,9
765417560,8
765417570,9
765417580,9
765417590,9
765417600,9
765417610,9
765417620,9
765417630,9
765417640,8
765417650,10
765417660,10
765417670,10
765417680,10
765417690,10
765417700,10
765417710,10
765417720,10
765417730,10
765417740,10
765417750,9
765417760,10
765417770,10
765417780,9
765417790,9
765417800,10
765417810,9
765417820,9
765417830,9
765417840,9
765417850,9
765417860,9
765417870,8
765417880,9
765417890,10
765417900,10
765417910,10
765417920,9
765417930,10
765417940,10
765417950,10
765417960,9
765417970,10
765417980,10
765417990,10
765418000,10
765418010,9
765418020,10
765418030,10
765418040,9
765418050,10
765418060,9
765418070,9
765418080,9
765418090,9
765418100,9
765418110,9
765418120,9
765418130,10
765418140,9
765418150,9
765418160,9
765418170,9
765418180,9
765418190,9
765418200,9
765418210,9
765418220,9
765418230,9
765418240,10
765418250,11
765418260,11
765418270,11
765418280,11
765418290,11
765418300,11
765418310,11
765418320,11
765418330,11
765418340,10
765418350,11
765418360,11
765418370,11
765418380,11
765418390,11
765418400,11
765418410,10
765418420,10
765418430,10
765418440,9
765418450,10
765418460,10
765418470,9
765418480,9
765418490,10
765418500,10
765418510,10
765418520,10
765418530,10
765418540,10
765418550,10
765418560,10
765418570,10
765418580,10
765418590,10
765418600,10
765418610,10
765418620,10
765418630,10
765418640,10
765418650,10
765418660,9
765418670,10
765418680,10
765418690,10
765418700,11
765418710,10
765418720,10
765418730,10
765418740,10
765418750,10
765418760,10
765418770,10
765418780,10
765418790,10
765418800,10
765418810,10
765418820,10
765418830,9
765418840,10
765418850,10
765418860,10
765418870,9
765418880,10
765418890,10
765418900,10
765418910,9
765418920,9
765418930,9
765418940,9
765418950,9
765418960,9
765418970,8
765418980,8
765418990,9
765419000,9
765419010,10
765419020,9
765419030,9
765419040,9
765419050,9
765419060,9
765419070,9
765419080,9
765419090,9
765419100,9
765419110,9
765419120,9
765419130,9
765419140,9
765419150,9
765419160,9
765419170,9
765419180,9
765419190,9
765419200,9
765419210,9
765419220,9
765419230,9
765419240,9
765419250,10
765419260,10
765419270,10
765419280,10
765419290,10
765419300,10
765419310,9
765419320,10
765419330,9
765419340,9
765419350,9
765419360,9
765419370,9
765419380,9
765419390,9
765419400,10
765419410,10
765419420,10
765419430,10
765419440,10
765419450,10
765419460,10
765419470,10
765419480,10
765419490,10
765419500,10
765419510,10
765419520,9
765419530,10
765419540,9
765419550,10
765419560,10
765419570,10
765419580,10
765419590,10
765419600,9
765419610,9
765419620,9
765419630,10
765419640,8
765419650,9
765419660,9
765419670,9
765419680,9
765419690,9
765419700,7
765419710,7
765419720,8
765419730,8
765419740,8
765419750,7
765419760,7
765419770,7
765419780,7
765419790,6
765419800,6
765419810,7
765419820,7
765419830,7
765419840,7
765419850,7
765419860,7
765419870,7
765419880,7
765419890,7
765419900,7
765419910,7
765419920,7
765419930,7
765419940,7
765419950,7
765419960,7
765419970,7
765419980,7
765419990,7
765420000,8
765420010,8
765420020,8
765420030,8
765420040,8
765420050,8
765420060,8
765420070,8
765420080,8
765420090,8
765420100,8
765420110,8
765420120,8
765420130,8
765420140,8
765420150,8
765420160,8
765420170,8
765420180,8
765420190,8
765420200,8
765420210,8
765420220,8
765420230,8
765420240,8
765420250,8
765420260,10
765420270,10
765420280,10
765420290,10
765420300,10
765420310,10
765420320,11
765420330,11
765420340,11
765420350,11
765420360,11
765420370,11
765420380,11
765420390,11
765420400,11
765420410,11
765420420,11
765420430,11
765420440,11
765420450,11
765420460,11
765420470,11
765420480,11
765420490,11
765420500,11
765420510,11
765420520,10
765420530,10
765420540,10
765420550,11
765420560,10
765420570,10
765420580,10
765420590,10
765420600,9
765420610,9
765420620,9
765420630,8
765420640,8
765420650,8
765420660,8
765420670,8
765420680,8
765420690,8
765420700,8
765420710,9
765420720,10
765420730,11
765420740,11
765420750,11
765420760,11
765420770,11
765420780,11
765420790,11
765420800,11
765420810,11
765420820,11
765420830,11
765420840,11
765420850,11
