Количество видимых спутников	Время, с	Кол-во
0	15
765379700,10
765379710,10
765379720,10
765379730,10
765379740,10
765379750,10
765379760,10
765379770,10
765379780,10
765379790,10
765379800,10
765379810,10
765379820,10
765379830,10
765379840,10
765379850,10
765379860,10
765379870,10
765379880,10
765379890,10
765379900,10
765379910,10
765379920,10
765379930,10
765379940,9
765379950,9
765379960,9
765379970,8
765379980,8
765379990,9
765380000,8
765380010,9
765380020,9
765380030,9
765380040,9
765380050,9
765380060,9
765380070,9
765380080,9
765380090,8
765380100,8
765380110,8
765380120,8
765380130,8
765380140,8
765380150,8
765380160,10
765380170,9
765380180,9
765380190,9
765380200,10
765380210,10
765380220,10
765380230,10
765380240,10
765380250,10
765380260,10
765380270,10
765380280,10
765380290,9
765380300,9
765380310,8
765380320,8
765380330,8
765380340,9
765380350,9
765380360,9
765380370,8
765380380,8
765380390,8
765380400,8
765380410,8
765380420,8
765380430,8
765380440,8
765380450,8
765380460,8
765380470,8
765380480,8
765380490,8
765380500,8
765380510,8
765380520,8
765380530,8
765380540,8
765380550,8
765380560,8
765380570,8
765380580,8
765380590,8
765380600,8
765380610,7
765380620,7
765380630,7
765380640,7
765380650,7
765380660,7
765380670,7
765380680,8
765380690,8
765380700,8
765380710,7
765380720,7
765380730,8
765380740,9
765380750,9
765380760,9
765380770,9
765380780,9
765380790,9
765380800,9
765380810,9
765380820,9
765380830,9
765380840,9
765380850,8
765380860,8
765380870,8
765380880,9
765380890,9
765380900,9
765380910,8
765380920,9
765380930,10
765380940,10
765380950,10
765380960,10
765380970,10
765380980,9
765380990,10
765381000,10
765381010,9
765381020,9
765381030,9
765381040,8
765381050,8
765381060,9
765381070,8
765381080,8
765381090,10
765381100,9
765381110,9
765381120,9
765381130,9
765381140,10
765381150,10
765381160,10
765381170,10
765381180,10
765381190,10
765381200,10
765381210,10
765381220,10
765381230,10
765381240,11
765381250,11
765381260,11
765381270,11
765381280,11
765381290,9
765381300,9
765381310,9
765381320,9
765381330,9
765381340,9
765381350,9
765381360,8
765381370,8
765381380,10
765381390,10
765381400,11
765381410,10
765381420,11
765381430,11
765381440,11
765381450,11
765381460,11
765381470,11
765381480,10
765381490,9
765381500,9
765381510,10
765381520,10
765381530,10
765381540,10
765381550,10
765381560,11
765381570,10
765381580,10
765381590,10
765381600,10
765381610,10
765381620,10
765381630,10
765381640,10
765381650,10
765381660,10
765381670,9
765381680,9
765381690,10
765381700,9
765381710,9
765381720,9
765381730,9
765381740,9
765381750,9
765381760,10
765381770,10
765381780,10
765381790,10
765381800,10
765381810,10
765381820,10
765381830,10
765381840,10
765381850,10
765381860,9
765381870,9
765381880,9
765381890,10
765381900,10
765381910,10
765381920,10
765381930,9
765381940,9
765381950,9
765381960,9
765381970,8
765381980,8
765381990,9
765382000,9
765382010,9
765382020,9
765382030,8
765382040,8
765382050,8
765382060,8
765382070,8
765382080,8
765382090,8
765382100,8
765382110,8
765382120,8
765382130,8
765382140,8
765382150,8
765382160,8
765382170,8
765382180,8
765382190,8
765382200,8
765382210,8
765382220,8
765382230,8
765382240,8
765382250,8
765382260,8
765382270,8
765382280,8
765382290,8
765382300,8
765382310,8
765382320,8
765382330,7
765382340,8
765382350,8
765382360,8
765382370,8
765382380,8
765382390,8
765382400,9
765382410,8
765382420,8
765382430,8
765382440,8
765382450,8
765382460,8
765382470,8
765382480,8
765382490,8
765382500,8
765382510,8
765382520,8
765382530,8
765382540,8
765382550,8
765382560,9
765382570,9
765382580,9
765382590,9
765382600,9
765382610,9
765382620,9
765382630,9
765382640,9
765382650,9
765382660,8
765382670,9
765382680,9
765382690,9
765382700,9
765382710,9
765382720,9
765382730,9
765382740,9
765382750,9
765382760,10
765382770,9
765382780,9
765382790,8
765382800,8
765382810,8
765382820,7
765382830,6
765382840,7
765382850,8
765382860,8
765382870,7
765382880,6
765382890,6
765382900,7
765382910,5
765382920,5
765382930,5
765382940,5
765382950,5
765382960,4
765382970,5
765382980,5
765382990,5
765383000,5
765383010,6
765383020,6
765383030,6
765383040,5
765383050,5
765383060,5
765383070,5
765383080,5
765383090,5
765383100,6
765383110,6
765383120,6
765383130,6
765383140,6
765383150,6
765383160,6
765383170,6
765383180,6
765383190,6
765383200,6
765383210,7
765383220,7
765383230,7
765383240,6
765383250,6
765383260,6
765383270,6
765383280,6
765383290,6
765383300,6
765383310,6
765383320,7
765383330,7
765383340,7
765383350,7
765383360,7
765383370,7
765383380,7
765383390,7
765383400,7
765383410,7
765383420,7
765383430,7
765383440,8
765383450,8
765383460,8
765383470,8
765383480,8
765383490,8
765383500,8
765383510,8
765383520,8
765383530,8
765383540,8
765383550,8
765383560,9
765383570,10
765383580,10
765383590,10
765383600,10
765383610,10
765383620,10
765383630,10
765383640,10
765383650,10
765383660,10
765383670,10
765383680,11
765383690,11
765383700,11
765383710,11
765383720,11
765383730,11
765383740,11
765383750,10
765383760,10
765383770,10
765383780,10
765383790,10
765383800,10
765383810,10
765383820,10
765383830,10
765383840,10
765383850,10
765383860,9
765383870,10
765383880,10
765383890,10
765383900,10
765383910,10
765383920,10
765383930,10
765383940,10
765383950,10
765383960,10
765383970,10
765383980,10
765383990,10
765384000,10
765384010,10
765384020,10
765384030,10
765384040,10
765384050,10
765384060,10
765384070,10
765384080,10
765384090,10
765384100,10
765384110,10
765384120,10
765384130,9
765384140,9
765384150,9
765384160,9
765384170,9
765384180,9
765384190,9
765384200,9
765384210,10
765384220,10
765384230,10
765384240,11
765384250,11
765384260,11
765384270,11
765384280,11
765384290,11
765384300,11
765384310,11
765384320,11
765384330,11
765384340,11
765384350,11
765384360,11
765384370,11
765384380,11
765384390,11
765384400,11
765384410,11
765384420,11
765384430,11
765384440,11
765384450,11
765384460,11
765384470,11
765384480,11
765384490,11
765384500,10
765384510,11
765384520,11
765384530,10
765384540,10
765384550,10
765384560,10
765384570,10
765384580,10
765384590,9
765384600,10
765384610,9
765384620,9
765384630,9
765384640,10
765384650,10
765384660,10
765384670,10
765384680,10
765384690,10
765384700,10
765384710,10
765384720,10
765384730,10
765384740,10
765384750,10
765384760,9
765384770,9
765384780,9
765384790,9
765384800,9
765384810,9
765384820,8
765384830,9
765384840,9
765384850,9
765384860,9
765384870,8
765384880,7
765384890,7
765384900,7
765384910,7
765384920,7
765384930,8
765384940,7
765384950,7
765384960,7
765384970,8
765384980,7
765384990,7
765385000,7
765385010,7
765385020,7
765385030,7
765385040,7
765385050,7
765385060,7
765385070,7
765385080,7
765385090,7
765385100,8
765385110,8
765385120,8
765385130,8
765385140,8
765385150,9
765385160,10
765385170,10
765385180,10
765385190,10
765385200,10
765385210,10
765385220,10
765385230,10
765385240,10
765385250,10
765385260,10
765385270,10
765385280,10
765385290,10
765385300,10
765385310,10
765385320,10
765385330,10
765385340,10
765385350,11
765385360,11
765385370,11
765385380,11
765385390,10
765385400,10
765385410,10
765385420,10
765385430,10
765385440,10
765385450,11
765385460,10
765385470,10
765385480,10
765385490,10
765385500,10
765385510,10
765385520,10
765385530,10
765385540,10
765385550,10
765385560,10
765385570,10
765385580,11
765385590,11
765385600,11
765385610,11
765385620,11
765385630,11
765385640,10
765385650,10
765385660,10
765385670,10
765385680,10
765385690,10
765385700,10
765385710,10
765385720,10
765385730,10
765385740,10
765385750,10
765385760,10
765385770,10
765385780,10
765385790,10
765385800,11
765385810,11
765385820,11
765385830,11
765385840,11
765385850,11
765385860,11
765385870,11
765385880,11
765385890,11
765385900,11
765385910,11
765385920,11
765385930,11
765385940,11
765385950,11
765385960,11
765385970,11
765385980,11
765385990,11
765386000,10
765386010,10
765386020,10
765386030,10
765386040,11
765386050,10
765386060,10
765386070,10
765386080,9
765386090,10
765386100,10
765386110,10
765386120,10
765386130,8
765386140,8
765386150,8
765386160,9
765386170,9
765386180,9
