Модуль ошибки
Время, с	Ошибка, м
732804710	30.9696
732804720	31.4676
732804730	31.7796
732804740	31.9497
732804750	32.2954
732804760	32.4286
732804770	32.9479
732804780	33.3144
732804790	33.2259
732804800	33.4108
732804810	33.5255
732804820	34.8574
732804830	34.717
732804840	34.9025
732804850	34.729
732804860	34.8763
732804870	35.3454
732804880	35.7515
732804890	35.64
732804900	36.3899
732804910	36.7776
732804920	36.3262
732804930	36.4134
732804940	37.1616
732804950	36.6869
732804960	37.11
732804970	37.8724
732804980	38.5863
732804990	39.5724
732805000	40.269
732805010	42.2247
732805020	43.2742
732805030	43.6539
732805040	44.3971
732805050	46.2008
732805060	48.1306
732805070	52.0188
732805080	36.4217
732805090	36.6901
732805100	36.5337
732805110	36.6382
732805120	36.5987
732805130	37.0263
732805140	36.5401
732805150	36.7801
732805160	36.9479
732805170	37.2091
732805180	37.2445
732805190	36.9299
732805200	37.1817
732805210	37.2465
732805220	37.1399
732805230	37.0935
732805240	36.9813
732805250	36.7681
732805260	37.1818
732805270	55.2857
732805280	41.9521
732805290	38.1035
732805300	37.4642
732805310	83.2708
732805320	79.8074
732805330	72.8765
732805340	42.8416
732805350	37.9665
732805360	37.6089
732805370	37.9646
732805380	36.9861
732805390	35.2391
732805400	35.3665
732805410	35.0441
732805420	35.0698
732805430	34.9391
732805440	34.9545
732805450	41.5922
732805460	41.606
732805470	41.3172
732805480	41.9997
732805490	43.2715
732805500	41.2885
732805510	36.0777
732805520	37.5022
732805530	37.2867
732805540	36.9215
732805550	37.8267
732805560	37.1685
732805570	36.6737
732805580	36.5659
732805590	36.7142
732805600	36.1676
732805610	35.7206
732805620	35.6189
732805630	34.6584
732805640	34.1445
732805650	34.2163
732805660	33.7988
732805670	33.6451
732805680	33.361
732805690	33.2818
732805700	32.6559
732805710	32.1092
732805720	32.1544
732805730	32.0888
732805740	31.5285
732805750	32.7717
732805760	32.7884
732805770	33.2383
732805780	33.2417
732805790	31.9469
732805800	31.7468
732805810	30.8057
732805820	30.5294
732805830	31.315
732805840	30.7803
732805850	30.4147
732805860	30.0215
732805870	29.5098
732805880	29.4204
732805890	29.3812
732805900	28.7553
732805910	28.3055
732805920	28.0185
732805930	28.3826
732805940	28.0476
732805950	27.9402
732805960	27.5736
732805970	26.9197
732805980	26.9506
